index;nom_chaine;groupe;logo
1;▼●★ --- |FR| TNT FHD |FR| --- ★●▼;ⓘTV ║ FRANCE FHD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/FLAG_FRANCE.png
14;FR | SECRET STORY FHD;ⓘTV ║ FRANCE FHD;http://redpluslogo.net/LOGO/TV_FRANCE_FHD/SECRETSTORY.png
19;FR | SQOOL TV FHD;ⓘTV ║ FRANCE FHD;http://redpluslogo.net/LOGO/SQOOL_TV.png
22;FR | UN VILLAGE FRANÇAIS;ⓘTV ║ FRANCE PLUTO;http://redpluslogo.net/LOGO/PLUTO.png
24;FR | MARMITON TV FHD;ⓘTV ║ FRANCE FHD;http://redpluslogo.net/LOGO/TV_FRANCE_FHD/MARMITON_TV.png
25;FR | FRANCE TV SERIES FHD;ⓘTV ║ FRANCE FHD;http://redpluslogo.net/LOGO/TV_FRANCE_FHD/FRANCETVSERIES.png
26;FR | FRANCE TV DOCS FHD;ⓘTV ║ FRANCE FHD;http://redpluslogo.net/LOGO/TV_FRANCE_FHD/100%25_DOCS.png
27;FR | ENQUETES DE CHOC FHD;ⓘTV ║ FRANCE FHD;http://redpluslogo.net/LOGO/TV_FRANCE_FHD/enquetesdechoc.png
28;FR | ESPRIT SORCIER TV FHD;ⓘTV ║ FRANCE FHD;http://redpluslogo.net/LOGO/TV_FRANCE_FHD/L%27ESPRIT_SORCIER_TV.png
30;FR | BRUT FHD;ⓘTV ║ FRANCE FHD;http://redpluslogo.net/LOGO/BRUT.png
31;FR | LES SECRETS DE NOS RÉGIONS;ⓘTV ║ FRANCE FHD;http://redpluslogo.net/LOGO/RAKUTEN.png
32;FR | UN SI GRAND SOLEIL;ⓘTV ║ FRANCE PLUTO;http://redpluslogo.net/LOGO/PLUTO.png
33;▼●★ --- ||FR|| MYCANAL FHD ||FR|| --- ★●▼;ⓘTV ║ FRANCE FHD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/FLAG_FRANCE.png
40;▼●★ --- ||FR|| ORANGE CINEMA ||FR|| --- ★●▼;ⓘTV ║ FRANCE FHD;http://redpluslogo.net/LOGO/TV_FRANCE_FHD/FLAG_FRANCE.png
41;FR | OCS GO PREMIERE FHD;ⓘTV ║ FRANCE FHD;http://redpluslogo.net/LOGO/ocs.png
42;FR | OCS GO SIGNATURE FHD;ⓘTV ║ FRANCE FHD;http://redpluslogo.net/LOGO/ocs.png
43;FR | OCS GO US +24 FHD;ⓘTV ║ FRANCE FHD;http://redpluslogo.net/LOGO/ocs.png
44;FR | ORANGE PREMIUM;ⓘTV ║ FRANCE FHD;http://redpluslogo.net/LOGO/orangetv.png
45;FR | ORANGE CLUB FHD;ⓘTV ║ FRANCE FHD;http://redpluslogo.net/LOGO/orangetv.png
46;FR | ORANGE STUDIO FHD;ⓘTV ║ FRANCE FHD;http://redpluslogo.net/LOGO/orangetv.png
47;FR | ORANGE LA UNE FHD;ⓘTV ║ FRANCE FHD;http://redpluslogo.net/LOGO/orangetv.png
48;FR | ORANGE LA DEUX FHD;ⓘTV ║ FRANCE FHD;http://redpluslogo.net/LOGO/orangetv.png
49;FR | ORANGE ACTION FHD;ⓘTV ║ FRANCE FHD;http://redpluslogo.net/LOGO/orangetv.png
50;FR | ORANGE SERIES FHD;ⓘTV ║ FRANCE FHD;http://redpluslogo.net/LOGO/orangetv.png
51;▼●★ --- |FR| CINÉMA |FR| --- ★●▼;ⓘTV ║ CINEMA;http://redpluslogo.net/LOGO/TV_FRANCE_FHD/FLAG_FRANCE.png
92;FR | DOSSIERS FBI;ⓘTV ║ CINEMA;http://redpluslogo.net/LOGO/PLUTO.png
93;FR | INA 70S;ⓘTV ║ CINEMA;http://redpluslogo.net/LOGO/RAKUTEN.png
94;FR | NETFLIX THRILLER;ⓘTV ║ CINEMA;https://redpluslogo.net/LOGO/netflix.png
95;FR | NETFLIX SCI-FI;ⓘTV ║ CINEMA;https://redpluslogo.net/LOGO/netflix.png
96;FR | NETFLIX FANTASY;ⓘTV ║ CINEMA;https://redpluslogo.net/LOGO/netflix.png
