playlist_name;source_name
FR | CINE+ OCS HD;OCS
FR | CINE+ OCS SD;OCS
FR | CANAL+ GRAND ECRAN HD;Canal+ Grand Ecran
FR | FR3 ALPES;France 3 - Alpes
FR | FR3 ALSACE;France 3 - Alsace
FR | FR3 AQUITAINE;France 3 - Aquitaine
FR | FR3 AUVERGNE;France 3 - Auvergne
FR | FR3 BASSE-NORMANDIE;France 3 - Basse-Normandie
FR | FR3 BOURGOGNE;France 3 - Bourgogne
FR | FR3 BRETAGNE;France 3 - Bretagne
FR | FR3 CENTRE;France 3 - Centre
FR | FR3 CHAMPAGNE-ARDENNE;France 3 - Champagne-Ardenne
FR | FR3 CORSE VIA STELLA;France 3 - Via Stella
FR | FR3 COTE-D;France 3 - Côte d'Azur
FR | FR3 FRANCHE-COMTE;France 3 - Franche-Comté
FR | FR3 HAUTE-NORMANDIE;France 3 - Haute-Normandie
FR | FR3 LANGUEDOC-ROUSSILLON;France 3 - Languedoc
FR | FR3 LIMOUSIN;France 3 - Limousin
FR | FR3 LORRAINE;France 3 - Lorraine
FR | FR3 MIDI PYRENEES;France 3 - Midi-Pyrénées
FR | FR3 NORD PAS-DE-CALAIS;France 3 - Nord Pas-de-Calais
FR | FR3 PARIS ILE-DE-FRANCE;France 3 - Paris Ile-de-France
FR | FR3 PAYS DE LOIRE;France 3 - Pays de Loire
FR | FR3 PICARDIE;France 3 - Picardie
FR | FR3 POITOU-CHARENTES;France 3 - Poitou-Charentes
FR | FR3 PROVENCE-ALPES;France 3 - Provence Alpes
FR | FR3 RHONE-ALPES;France 3 - Rhône-Alpes
FR | 20 MINUTES TV HD;20 Minutes TV
FR | TV8 MONT-BLANC;8 Mont Blanc
FR | 7ALIMOGES HD;7 A LIMOGES
FR | AS TV HD;ASTV
FR | ASTRO CENTER TV;Astrocenter TV
FR | TV MONACO;TV MONACO
