index;nom_chaine;tvg_id_original;tvg_id_final;methode;groupe;logo
1;▼●★ --- |FR| TNT FHD |FR| --- ★●▼;;;unmapped;ⓘTV ║ FRANCE FHD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/FLAG_FRANCE.png
2;FR | TF1 FHD;tf1.fr;tf1.fr;original;ⓘTV ║ FRANCE FHD;http://redpluslogo.net/LOGO/TV_FRANCE_FHD/TF1.png
3;FR | FRANCE 2 FHD;france2.fr;france2.fr;original;ⓘTV ║ FRANCE FHD;http://redpluslogo.net/LOGO/TV_FRANCE_FHD/FRANCE_2.png
4;FR | FRANCE 3 FHD;france3.fr;france3.fr;original;ⓘTV ║ FRANCE FHD;http://redpluslogo.net/LOGO/TV_FRANCE_FHD/FRANCE_3.png
5;FR | FRANCE 4 FHD;france4.fr;france4.fr;original;ⓘTV ║ FRANCE FHD;http://redpluslogo.net/LOGO/TV_FRANCE_FHD/FRANCE_4.png
6;FR | FRANCE 5 FHD;france5.fr;france5.fr;original;ⓘTV ║ FRANCE FHD;http://redpluslogo.net/LOGO/TV_FRANCE_FHD/FRANCE_5.png
7;FR | ARTE FHD;arte.fr;arte.fr;original;ⓘTV ║ FRANCE FHD;http://redpluslogo.net/LOGO/TV_FRANCE_FHD/ARTE.png
8;FR | M6 FHD;m6.fr;m6.fr;original;ⓘTV ║ FRANCE FHD;http://redpluslogo.net/LOGO/TV_FRANCE_FHD/M6.png
9;FR | M6 INTERNATIONAL FHD;m6.fr;m6.fr;original;ⓘTV ║ FRANCE FHD;http://redpluslogo.net/LOGO/TV_FRANCE_FHD/M6_INTERNATIONAL.png
10;FR | 6TER FHD;6ter.fr;6ter.fr;original;ⓘTV ║ FRANCE FHD;http://redpluslogo.net/LOGO/TV_FRANCE_FHD/6TER.png
11;FR | W9 FHD;w9.fr;w9.fr;original;ⓘTV ║ FRANCE FHD;http://redpluslogo.net/LOGO/TV_FRANCE_FHD/W9.png
12;FR | TFX FHD;tfx.fr;tfx.fr;original;ⓘTV ║ FRANCE FHD;http://redpluslogo.net/LOGO/TV_FRANCE_FHD/TFX.png
13;FR | TF1 SERIES-FILMS FHD;tf1seriesfilms.fr;tf1seriesfilms.fr;original;ⓘTV ║ FRANCE FHD;http://redpluslogo.net/LOGO/TV_FRANCE_FHD/TF1_SERIES_FILMS.png
14;FR | SECRET STORY FHD;;;unmapped;ⓘTV ║ FRANCE FHD;http://redpluslogo.net/LOGO/TV_FRANCE_FHD/SECRETSTORY.png
15;FR | CSTAR FHD;cstar.fr;cstar.fr;original;ⓘTV ║ FRANCE FHD;http://redpluslogo.net/LOGO/TV_FRANCE_FHD/CSTAR.png
16;FR | T18 FHD;t18.fr;t18.fr;original;ⓘTV ║ FRANCE FHD;https://redpluslogo.net/LOGO/TV_FRANCE_FHD/T18.png
17;FR | NOVO19 FHD;novo19.fr;novo19.fr;original;ⓘTV ║ FRANCE FHD;https://redpluslogo.net/LOGO/TV_FRANCE_FHD/novo_19.png
18;FR | TMC FHD;tmc.fr;tmc.fr;original;ⓘTV ║ FRANCE FHD;http://redpluslogo.net/LOGO/TV_FRANCE_FHD/TMC.png
19;FR | SQOOL TV FHD;;;unmapped;ⓘTV ║ FRANCE FHD;http://redpluslogo.net/LOGO/SQOOL_TV.png
20;FR | RMC STORY FHD;rmcstory.fr;rmcstory.fr;original;ⓘTV ║ FRANCE FHD;http://redpluslogo.net/LOGO/TV_FRANCE_FHD/RMC_STORY.png
21;FR | RMC LIFE FHD;cherie25.fr;cherie25.fr;original;ⓘTV ║ FRANCE FHD;http://redpluslogo.net/LOGO/TV_FRANCE_FHD/CHERIE_25.png
22;FR | UN VILLAGE FRANÇAIS;;;unmapped;ⓘTV ║ FRANCE PLUTO;http://redpluslogo.net/LOGO/PLUTO.png
23;FR | MUSEUM FHD;Museum.fr;Museum.fr;original;ⓘTV ║ FRANCE FHD;http://redpluslogo.net/LOGO/museumhd.png
24;FR | MARMITON TV FHD;;;unmapped;ⓘTV ║ FRANCE FHD;http://redpluslogo.net/LOGO/TV_FRANCE_FHD/MARMITON_TV.png
25;FR | FRANCE TV SERIES FHD;;;unmapped;ⓘTV ║ FRANCE FHD;http://redpluslogo.net/LOGO/TV_FRANCE_FHD/FRANCETVSERIES.png
26;FR | FRANCE TV DOCS FHD;;;unmapped;ⓘTV ║ FRANCE FHD;http://redpluslogo.net/LOGO/TV_FRANCE_FHD/100%25_DOCS.png
27;FR | ENQUETES DE CHOC FHD;;;unmapped;ⓘTV ║ FRANCE FHD;http://redpluslogo.net/LOGO/TV_FRANCE_FHD/enquetesdechoc.png
28;FR | ESPRIT SORCIER TV FHD;;;unmapped;ⓘTV ║ FRANCE FHD;http://redpluslogo.net/LOGO/TV_FRANCE_FHD/L%27ESPRIT_SORCIER_TV.png
29;FR | LUCKY JACK TV FHD;LuckyJack.fr;LuckyJack.fr;original;ⓘTV ║ FRANCE FHD;http://redpluslogo.net/LOGO/TV_FRANCE_FHD/LUCKY_JACK.png
30;FR | BRUT FHD;;;unmapped;ⓘTV ║ FRANCE FHD;http://redpluslogo.net/LOGO/BRUT.png
